millis,Pressure,Pitch,Roll,DrawWire,Rot.Pos,LinMassPos,yaw,
649206,138,-4.41,-3.93,303,417,543,348.65, 
1.51,,,,,,,,
649338,138,-4.41,-3.93,303,400,543,348.66, 
1.51,,,,,,,,
649364,138,-4.41,-3.93,303,390,543,348.66, 
1.51,,,,,,,,
649446,138,-4.41,-3.93,303,378,543,348.67, 
1.51,,,,,,,,
649462,138,-4.41,-3.93,303,370,543,348.67, 
1.51,,,,,,,,
649480,138,-4.41,-3.93,303,362,543,348.68, 
1.51,,,,,,,,
649505,138,-4.41,-3.93,303,356,543,348.68, 
1.51,,,,,,,,
649522,138,-4.41,-3.93,303,349,543,348.68, 
1.51,,,,,,,,
649538,138,-4.41,-3.93,303,344,543,348.68, 
1.51,,,,,,,,
649554,138,-4.41,-3.93,303,340,543,348.68, 
1.51,,,,,,,,
649581,138,-4.41,-3.93,303,335,543,348.7, 
1.51,,,,,,,,
649597,138,-4.41,-3.93,303,331,543,348.7, 
1.51,,,,,,,,
649614,138,-4.41,-3.93,303,328,543,348.7, 
1.51,,,,,,,,
649639,138,-4.41,-3.93,303,325,543,348.7, 
1.51,,,,,,,,
649656,138,-4.41,-3.93,303,321,543,348.7, 
1.51,,,,,,,,
649673,138,-4.39,-3.93,303,320,543,348.71, 
1.51,,,,,,,,
649690,138,-4.39,-3.93,303,319,543,348.71, 
1.51,,,,,,,,
649715,138,-4.39,-3.93,303,317,543,348.71, 
1.51,,,,,,,,
649762,138,-4.39,-3.93,303,317,543,348.71, 
1.51,,,,,,,,
649788,138,-4.41,-3.93,303,315,543,348.72, 
1.51,,,,,,,,
649814,138,-4.41,-3.93,303,313,543,348.72, 
1.51,,,,,,,,
649830,138,-4.41,-3.93,303,312,543,348.72, 
1.51,,,,,,,,
649846,138,-4.41,-3.93,303,308,543,348.72, 
1.51,,,,,,,,
649874,138,-4.39,-3.93,303,311,543,348.73, 
1.51,,,,,,,,
649889,138,-4.39,-3.93,303,310,543,348.73, 
1.51,,,,,,,,
649906,138,-4.39,-3.93,303,309,543,348.73, 
1.51,,,,,,,,
649921,138,-4.39,-3.93,303,308,543,348.73, 
1.51,,,,,,,,
649947,138,-4.39,-3.93,303,305,543,348.73, 
1.51,,,,,,,,
649963,138,-4.39,-3.93,303,307,543,348.73, 
1.51,,,,,,,,
649979,138,-4.39,-3.93,303,306,543,348.74, 
1.51,,,,,,,,
650005,138,-4.39,-3.93,303,306,543,348.74, 
1.51,,,,,,,,
650021,138,-4.39,-3.93,303,305,543,348.74, 
1.51,,,,,,,,
650038,138,-4.39,-3.93,303,305,543,348.74, 
1.51,,,,,,,,
650054,138,-4.39,-3.93,303,305,543,348.74, 
1.51,,,,,,,,
650081,138,-4.41,-3.93,303,304,543,348.74, 
1.51,,,,,,,,
650097,138,-4.41,-3.93,303,304,543,348.74, 
1.51,,,,,,,,
650114,138,-4.41,-3.93,303,304,543,348.74, 
1.51,,,,,,,,
650140,138,-4.41,-3.93,303,304,543,348.74, 
1.51,,,,,,,,
650157,138,-4.41,-3.93,303,300,543,348.74, 
1.51,,,,,,,,
650174,138,-4.41,-3.93,303,304,543,348.76, 
1.51,,,,,,,,
650200,138,-4.41,-3.93,303,304,543,348.76, 
1.51,,,,,,,,
650216,138,-4.41,-3.93,303,303,543,348.76, 
1.51,,,,,,,,
650260,138,-4.41,-3.93,303,305,543,348.76, 
1.51,,,,,,,,
650286,138,-4.41,-3.93,303,305,543,348.77, 
1.51,,,,,,,,
650312,138,-4.41,-3.93,303,304,543,348.77, 
1.51,,,,,,,,
650329,138,-4.41,-3.93,303,303,543,348.77, 
1.51,,,,,,,,
650345,138,-4.41,-3.93,303,300,543,348.77, 
1.51,,,,,,,,
650372,138,-4.41,-3.93,303,304,543,348.78, 
1.51,,,,,,,,
650388,138,-4.41,-3.93,303,303,543,348.78, 
1.51,,,,,,,,
650404,138,-4.41,-3.93,303,303,543,348.78, 
1.51,,,,,,,,
650430,138,-4.41,-3.93,303,303,543,348.78, 
1.51,,,,,,,,
650446,138,-4.41,-3.93,303,303,543,348.78, 
1.51,,,,,,,,
650463,138,-4.41,-3.93,303,303,543,348.78, 
1.51,,,,,,,,
650480,138,-4.41,-3.93,303,303,543,348.79, 
1.51,,,,,,,,
650513,138,-4.41,-3.93,303,303,543,348.79, 
1.51,,,,,,,,
650529,138,-4.41,-3.93,303,302,543,348.79, 
1.51,,,,,,,,
650546,138,-4.41,-3.93,303,302,543,348.79, 
1.51,,,,,,,,
650572,138,-4.41,-3.93,303,302,543,348.79, 
1.51,,,,,,,,
650589,138,-4.41,-3.93,303,302,543,348.79, 
1.51,,,,,,,,
650605,138,-4.41,-3.93,303,302,543,348.79, 
1.51,,,,,,,,
650631,138,-4.41,-3.93,303,302,543,348.79, 
1.51,,,,,,,,
650647,138,-4.41,-3.93,303,302,543,348.79, 
1.51,,,,,,,,
650664,138,-4.41,-3.93,303,302,543,348.79, 
1.51,,,,,,,,
650681,138,-4.41,-3.93,303,302,543,348.8, 
1.51,,,,,,,,
650706,138,-4.41,-3.93,303,302,543,348.8, 
1.51,,,,,,,,
650723,138,-4.41,-3.93,303,301,543,348.8, 
1.51,,,,,,,,
650768,138,-4.41,-3.93,303,303,543,348.8, 
1.51,,,,,,,,
650803,138,-4.41,-3.93,303,303,543,348.83, 
1.51,,,,,,,,
650819,138,-4.41,-3.93,303,303,543,348.83, 
1.51,,,,,,,,
650835,138,-4.41,-3.93,303,302,543,348.83, 
1.51,,,,,,,,
650852,138,-4.41,-3.93,303,301,543,348.83, 
1.51,,,,,,,,
650878,138,-4.42,-3.93,303,303,543,348.84, 
1.51,,,,,,,,
650895,138,-4.42,-3.93,303,302,543,348.84, 
1.51,,,,,,,,
650911,138,-4.42,-3.93,303,302,543,348.84, 
1.51,,,,,,,,
650937,138,-4.42,-3.93,303,302,543,348.84, 
1.51,,,,,,,,
650953,138,-4.42,-3.93,303,298,543,348.84, 
1.51,,,,,,,,
650971,138,-4.42,-3.93,303,302,543,348.85, 
1.51,,,,,,,,
650997,138,-4.42,-3.93,303,302,543,348.85, 
1.51,,,,,,,,
651014,138,-4.42,-3.93,303,302,543,348.85, 
1.51,,,,,,,,
651030,138,-4.42,-3.93,303,302,543,348.85, 
1.51,,,,,,,,
651046,138,-4.42,-3.93,303,297,543,348.85, 
1.51,,,,,,,,
651073,138,-4.42,-3.93,303,303,543,348.86, 
1.51,,,,,,,,
651088,138,-4.42,-3.93,303,302,543,348.86, 
1.51,,,,,,,,
651105,138,-4.42,-3.93,303,303,543,348.86, 
1.51,,,,,,,,
651130,138,-4.42,-3.93,303,302,543,348.86, 
1.51,,,,,,,,
651146,138,-4.42,-3.93,303,302,543,348.86, 
1.51,,,,,,,,
651162,138,-4.42,-3.93,303,300,543,348.86, 
1.51,,,,,,,,
651188,138,-4.41,-3.93,303,302,543,348.87, 
1.51,,,,,,,,
651204,138,-4.41,-3.93,303,302,543,348.87, 
1.51,,,,,,,,
651220,138,-4.41,-3.93,303,302,543,348.87, 
1.51,,,,,,,,
651237,138,-4.41,-3.93,303,302,543,348.87, 
1.51,,,,,,,,
651291,138,-4.41,-3.94,303,304,543,348.88, 
1.51,,,,,,,,
651316,138,-4.41,-3.94,303,303,543,348.88, 
1.51,,,,,,,,
651332,138,-4.41,-3.94,303,302,543,348.88, 
1.51,,,,,,,,
651358,138,-4.41,-3.94,303,302,543,348.88, 
1.51,,,,,,,,
651374,138,-4.41,-3.94,303,303,543,348.89, 
1.51,,,,,,,,
651390,138,-4.41,-3.94,303,303,543,348.89, 
1.51,,,,,,,,
651407,138,-4.41,-3.94,303,303,543,348.89, 
1.51,,,,,,,,
